transaction_id,timestamp,sender_bank,amount,channel,location,device_type,is_fraud
TRX-1000000,2024-01-06 08:48:00,OPay,299301.54,Mobile App,Lagos,Feature Phone,0
TRX-1000001,2024-01-20 22:00:00,Moniepoint,5416.13,Web,Kano,Web,0
TRX-1000002,2024-01-20 01:07:00,Moniepoint,19560.98,POS,Enugu,Android,0
TRX-1000003,2024-01-28 03:57:00,Moniepoint,1017.63,USSD,Ibadan,Android,0
TRX-1000004,2024-01-07 16:01:00,OPay,19093.36,Mobile App,Abuja,Feature Phone,0
TRX-1000005,2024-01-04 22:25:00,Zenith,7519.84,POS,Port Harcourt,Web,0
TRX-1000006,2024-01-27 17:09:00,Zenith,16986.99,Web,Abuja,Android,0
TRX-1000007,2024-01-07 05:20:00,Kuda,81318.06,POS,Abuja,Android,0
TRX-1000008,2024-01-25 18:29:00,Access,4571.06,Web,Port Harcourt,Feature Phone,0
TRX-1000009,2024-01-19 21:36:00,GTBank,2468.25,USSD,Enugu,Web,0
TRX-1000010,2024-01-31 02:32:00,Kuda,16159.6,POS,Lagos,Feature Phone,0
TRX-1000011,2024-01-27 13:46:00,OPay,11103.0,Web,Lagos,Feature Phone,0
TRX-1000012,2024-01-02 06:22:00,Moniepoint,583.27,Web,Lagos,Feature Phone,0
TRX-1000013,2024-01-25 03:35:00,Moniepoint,19073.62,Web,Lagos,iPhone,0
TRX-1000014,2024-01-17 13:26:00,GTBank,424923.36,Mobile App,Lagos,Web,0
TRX-1000015,2024-01-01 20:06:00,Access,7945.29,Web,Ibadan,Feature Phone,0
TRX-1000016,2024-01-03 22:09:00,Zenith,289921.03,Mobile App,Enugu,Web,0
TRX-1000017,2024-01-11 23:25:00,Kuda,13121.16,Web,Enugu,Web,0
TRX-1000018,2024-01-08 10:01:00,Zenith,3860.21,USSD,Ibadan,Feature Phone,0
TRX-1000019,2024-01-01 23:50:00,Kuda,196080.83,Web,Lagos,iPhone,1
TRX-1000020,2024-01-20 14:54:00,Kuda,8508.27,USSD,Port Harcourt,Feature Phone,0
TRX-1000021,2024-01-06 21:52:00,GTBank,234569.27,USSD,Enugu,Web,0
TRX-1000022,2024-01-06 13:59:00,Kuda,4843.93,Mobile App,Port Harcourt,iPhone,0
